Produit,CodeBarre,Quantité,vegetarian_info,Pays_de_ventes,Caractéristiques
"Eaux de sources - Cristaline - 1,5",3274080005003,"1,5 L",Végétarien,"Belgique, Côte d'Ivoire, France, Allemagne, Guadeloupe, Italie, Luxembourg, Mali, Martinique, Suisse, Royaume-Uni, en:Allemagne, en:Belgique, en:Nouvelle-Calédonie, en:Royaume-Uni, en:Suisse, en:États-Unis",Pisciazza
Pâte à tartiner Nutella noisettes et cacao - Ferrero - 400,3017620422003,400 g,Non végétarien,"Belgique, France, Allemagne, Italie, Luxembourg, Maroc, Pays-Bas, Philippines, Pologne, Roumanie, Espagne, Suisse, Royaume-Uni, États-Unis",Pâte à tartiner aux noisettes
Prince Chocolat biscuits - Lu - 300,7622210449283,300 g,Non végétarien,"Algérie, Belgique, France, Polynésie française, Allemagne, Guadeloupe, Hongrie, Luxembourg, Martinique, Maroc, Nouvelle-Calédonie, La Réunion, Espagne, Suisse, États-Unis",BISCUITS FOURRÉS (35%) PARFUM CHOCOLAT
Coca-Cola goût original - 330 ,5449000214911,330 mL,NON,"Belgique, France, Allemagne, Hongrie, Italie, Mexique, Serbie, Espagne, Suisse",Boisson rafraîchissante aux extraits végétaux
Nutella - Ferrero - 1 ,3017620425035,1 kg,Non végétarien,"Algérie, Belgique, France, Allemagne, Guadeloupe, Italie, Luxembourg, Martinique, Maroc, La Réunion, Espagne, Suisse, Tunisie, Royaume-Uni, États-Unis",Pâte à tartiner aux noisettes
Coca Cola Zero - 330 ,5449000214799,330 ml,NON,"Belgique, France, Allemagne, Hongrie, Italie, Espagne, Suisse, États-Unis",Coca Cola Zero
Sésame - Gerblé - 23,3175680011480,230g,NON,"Belgique, France, Guadeloupe, Martinique, Maroc, La Réunion, Suisse",Biscuits au sésame
nutella biscuits - 304,8000500310427,304 g,Non végétarien,"France, Allemagne, Italie, Maroc, Roumanie, Espagne, Suisse",Biscuit fourré à la pâte à tartiner aux noisettes et au cacao Nutella®
Cruesli mélange de noix - Quaker - 450,3168930010265,450 g,Non végétarien,"Belgique, France, Polynésie française, Guadeloupe, Italie, Martinique, La Réunion, Slovénie, Espagne, Suisse, Royaume-Uni",Pépites de céréales croustillantes avec Mélange de Noix
Céréales chocapic - Nestlé - 430,7613034626844,430 g,NON,"France, Polynésie française, Guadeloupe, Martinique, Maroc, Nouvelle-Calédonie, La Réunion, Suisse","Céréales prêtes à consommer enrichies en 7 vitamines, calcium et fer"
Pur beurre de cacahuète - Jardin Bio - 350,3760020507350,350 g,Végétarien,"Belgique, France, Maroc, La Réunion, Espagne, Suisse",Purée de cacahuètes bio
Cristaline Eau de source - 50 ,3268840001008,50 cl,Végétarien,"Belgique, Côte d'Ivoire, France, Luxembourg, Mali, Martinique, Russie, Suisse, Royaume-Uni",Eau de source
Flocons d'avoine - Bjorg - 500,3229820019307,500 g,Végétarien,"Belgique, France, Allemagne, Maroc, Nouvelle-Calédonie, Espagne, Suisse",Flocons d'avoine bio
Coca-Cola en canette - 330,5449000000996,330ml,NON,"Algérie, Autriche, Belgique, Bulgarie, France, Allemagne, Italie, Maroc, Pologne, Portugal, Roumanie, Russie, Espagne, Suisse, Royaume-Uni",Soda au cola
Coca Cola Zero - 330 ,5449000131805,330 ml,NON,"Autriche, Belgique, France, Allemagne, Italie, Maroc, Pays-Bas, Pologne, Portugal, Roumanie, Espagne, Suisse, Royaume-Uni, États-Unis","Boisson rafraîchissante aux extraits végétaux, avec édulcorants"
Pain 100% mie complet - Harrys - 500,3228857000166,500 g,NON,"Belgique, France, Luxembourg, Martinique, La Réunion, Suisse",Pain de mie sans croûte à la farine complète
Pâte à tartiner Nutella noisettes et cacao - 200g - Ferrero - 200,80135463,200 g,Non végétarien,"Autriche, Belgique, Bulgarie, France, Allemagne, Hongrie, Italie, Maroc, Pays-Bas, Portugal, Roumanie, Espagne, Suisse, Royaume-Uni",Pâte à tartiner aux noisettes
14 Maxi Tranches complet sans sucres ajoutés - Jacquet - 550,3029330022428,550 g,Végétarien,"France, en:Suisse",Pain de mie complet sans sucres ajoutés (1) (1) Contient des sucres naturellement présents
TUC original - LU - 100,5410041001204,100 g,Non végétarien,"Belgique, France, Allemagne, Italie, Portugal, Espagne, Suisse",Biscuits salés
"Muesli Raisin, Figue, Abricot - Bjorg - 375",3229820129488,375 g,NON,"Belgique, Côte d'Ivoire, France, Polynésie française, Guadeloupe, Italie, Martinique, Maroc, Nouvelle-Calédonie, La Réunion, Espagne, Suisse, États-Unis","Mélange biologique de céréales, de fruits et de graines"
Pâte à tartiner noisettes et cacao - Bonne Maman - 360,3608580065340,360 g,Non végétarien,France,
Pâte à tartiner Nutella noisettes et cacao - 825g - Ferrero - 825,3017620429484,825 g,Non végétarien,"Argentine, Australie, Belgique, Canada, Colombie, France, Allemagne, Irlande, Italie, Japon, Luxembourg, Mexique, Pays-Bas, La Réunion, Russie, Arabie saoudite, Afrique du Sud, Espagne, Suède, Suisse, Royaume-Uni, États-Unis",Pâte à tartiner aux noisettes et au cacao
Special Muesli 30% fruits & noix - Jordans - 750,5010477348678,750 g,Végétarien,"Belgique, France, Polynésie française, Allemagne, Italie, Martinique, La Réunion, Espagne, Suisse",Flocons de 3 céréales avec 30% de fruits séchés et de noix
Excellence 70% Cacao Noir Intense - Lindt - 100,3046920022651,100 g,Végétarien,"Belgique, République tchèque, France, Allemagne, Guadeloupe, Italie, Maroc, en:Algerie, en:Espagne, en:La-reunion, en:Royaume-uni, en:Suisse",
Belvita Petit Déjeuner Chocolat - LU - 400,7622210713780,400 g,Non végétarien,"Belgique, France, Guadeloupe, Luxembourg, en:Belgique, en:La-reunion, en:Suisse",Biscuits petit déjeuner au chocolat
Yaourt nature- Le Nature - Danone - 500 g (4 × 125 ,3033490004521,500 g (4 × 125 g),Non végétarien,"Belgique, France, Maroc, Espagne",Yaourt nature
SKYR - Danone - 480,3033491454080,480 g,Non végétarien,"France, Allemagne",Spécialité laitière nature
San Pellegrino - 1,8002270014901,1 L,Végétarien,"Belgique, France, Italie, Luxembourg, Pays-Bas, Suisse",Eau minérale naturelle avec adjonction de gaz carbonique
Chips Pringles Original - 175,5053990156009,175 g,Végétarien,"France, Allemagne, Italie, Martinique, Portugal, Espagne, Royaume-Uni",Snack salé
